STT,gpa,hk,kq
1,3.74,8,xuat sac
2,3.16,4,xuat sac
3,3.61,4,xuat sac
4,3.78,3,xuat sac
5,3.79,4,xuat sac
6,2.32,6,trung binh
7,2.54,8,kha
8,2.61,8,kha
9,2.61,8,kha
10,2.61,8,kha
11,2.63,8,kha
12,2.63,8,kha
13,2.65,8,kha
14,2.66,8,kha
15,2.67,8,kha
16,2.7,8,kha
17,2.72,8,kha
18,2.75,8,kha
19,2.77,8,kha
20,2.78,8,kha
21,2.79,8,kha
22,2.8,8,kha
23,2.8,7,kha
24,2.81,8,kha
25,2.81,8,kha
26,2.81,8,kha
27,2.86,8,kha
28,2.89,8,kha
29,2.89,8,kha
30,2.92,8,kha
31,2.96,8,kha
32,2.98,8,kha
33,3.01,8,kha
34,3.03,8,kha
35,3.04,8,kha
36,3.04,8,kha
37,3.05,8,kha
38,3.05,8,kha
39,3.07,8,kha
40,3.08,8,kha
41,3.08,8,kha
42,3.1,8,kha
43,3.1,8,kha
44,3.12,8,kha
45,3.17,8,kha
46,1.5,1,kha
47,1.75,1,kha
48,2.13,1,kha
49,2.13,1,kha
50,2.25,1,kha
51,2.25,1,kha
52,2.27,4,kha
53,2.33,4,kha
54,2.37,6,kha
55,2.38,1,kha
56,2.5,1,kha
57,2.5,1,kha
58,2.56,4,kha
59,2.56,6,kha
60,2.57,4,kha
61,2.57,6,kha
62,2.59,3,kha
63,2.6,6,kha
64,2.61,6,kha
65,2.61,6,kha
66,2.62,3,kha
67,2.63,1,kha
68,2.63,1,kha
69,2.63,1,kha
70,2.64,4,kha
71,2.65,6,kha
72,2.66,4,kha
73,2.67,3,kha
74,2.67,6,kha
75,2.68,6,kha
76,2.7,3,kha
77,2.72,6,kha
78,2.72,6,kha
79,2.74,4,kha
80,2.75,1,kha
81,2.75,1,kha
82,2.75,1,kha
83,2.75,1,kha
84,2.75,1,kha
85,2.75,4,kha
86,2.75,4,kha
87,2.75,6,kha
88,2.75,6,kha
89,2.77,4,kha
90,2.8,3,kha
91,2.8,6,kha
92,2.8,6,kha
93,2.81,6,kha
94,2.82,3,kha
95,2.82,3,kha
96,2.82,4,kha
97,2.83,6,kha
98,2.83,6,kha
99,2.83,6,kha
100,2.84,3,kha
101,2.85,6,kha
102,2.85,6,kha
103,2.87,6,kha
104,2.88,1,kha
105,2.88,1,kha
106,2.88,3,kha
107,2.88,4,kha
108,2.88,4,kha
109,2.88,6,kha
110,2.89,6,kha
111,2.9,3,kha
112,2.91,4,kha
113,2.91,6,kha
114,2.92,4,kha
115,2.93,3,kha
116,2.93,3,kha
117,2.93,6,kha
118,2.93,6,kha
119,2.93,6,kha
120,2.93,6,kha
121,2.94,6,kha
122,2.95,6,kha
123,2.95,6,kha
124,2.96,3,kha
125,2.97,4,kha
126,2.97,6,kha
127,2.99,3,kha
128,3,1,kha
129,3,1,kha
130,3,3,kha
131,3.01,3,kha
132,3.01,3,kha
133,3.02,4,kha
134,3.03,3,kha
135,3.03,4,kha
136,3.04,4,kha
137,3.04,6,kha
138,3.06,3,kha
139,3.06,3,kha
140,3.06,4,kha
141,3.06,6,kha
142,3.07,4,kha
143,3.09,3,kha
144,3.1,3,kha
145,3.11,4,kha
146,3.12,3,kha
147,3.13,1,kha
148,3.13,1,kha
149,3.13,3,kha
150,3.13,4,kha
151,3.16,3,kha
152,3.17,3,kha
153,3.18,3,kha
154,3.18,4,kha
155,3.19,4,kha
156,3.22,4,kha
157,3.25,1,kha
158,3.25,1,kha
159,3.25,1,kha
160,3.25,1,kha
161,3.33,4,kha
162,3.38,1,kha
163,3.38,1,kha
164,3.41,3,kha
165,3.41,3,kha
166,3.5,1,kha
167,3.22,8,gioi
168,3.23,8,gioi
169,3.23,8,gioi
170,3.24,8,gioi
171,3.28,8,gioi
172,3.29,8,gioi
173,3.35,8,gioi
174,3.37,8,gioi
175,3.42,8,gioi
176,3.43,8,gioi
177,3.49,8,gioi
178,3.52,8,gioi
179,2,1,gioi
180,2.5,1,gioi
181,2.75,1,gioi
182,2.75,1,gioi
183,2.88,1,gioi
184,2.88,1,gioi
185,2.88,1,gioi
186,2.98,4,gioi
187,3,1,gioi
188,3,1,gioi
189,3,1,gioi
190,3,1,gioi
191,3.06,3,gioi
192,3.08,4,gioi
193,3.09,3,gioi
194,3.1,4,gioi
195,3.1,6,gioi
196,3.11,3,gioi
197,3.11,6,gioi
198,3.13,1,gioi
199,3.13,1,gioi
200,3.13,1,gioi
201,3.13,3,gioi
202,3.14,6,gioi
203,3.15,4,gioi
204,3.17,6,gioi
205,3.19,4,gioi
206,3.2,3,gioi
207,3.2,3,gioi
208,3.2,4,gioi
209,3.21,3,gioi
210,3.21,3,gioi
211,3.21,6,gioi
212,3.22,3,gioi
213,3.22,4,gioi
214,3.24,3,gioi
215,3.25,1,gioi
216,3.27,6,gioi
217,3.29,4,gioi
218,3.29,4,gioi
219,3.3,3,gioi
220,3.3,6,gioi
221,3.3,6,gioi
222,3.31,4,gioi
223,3.33,3,gioi
224,3.33,4,gioi
225,3.33,4,gioi
226,3.33,6,gioi
227,3.36,3,gioi
228,3.36,6,gioi
229,3.37,4,gioi
230,3.37,4,gioi
231,3.38,1,gioi
232,3.38,4,gioi
233,3.39,6,gioi
234,3.41,3,gioi
235,3.42,6,gioi
236,3.43,3,gioi
237,3.45,6,gioi
238,3.47,4,gioi
239,3.48,4,gioi
240,3.48,4,gioi
241,3.5,1,gioi
242,3.5,3,gioi
243,3.5,6,gioi
244,3.52,3,gioi
245,3.52,4,gioi
246,3.54,3,gioi
247,3.61,3,gioi
248,3.63,1,gioi
249,3.63,1,gioi
250,3.72,3,gioi
251,3.74,4,gioi
252,3.75,1,gioi
